date,name,phone,status,client_request
червень 2022,Ярослав,0990775505,active,2кімнатна квартира в центрі
09-06.2022,Ярослав,0990775505,active,1кімнатна квартира в центрі
09-05.2022,Ярослав,0990775505,active,3кімнатна квартира в центрі
01-05.2022,Ярослав,0990775505,active,2кімнатна квартира на Львівській
02-05-2022,Ярослав,0990775505,active,1кімнатна квартира на Львівській
03-05-2022,Ярослав,0990775505,active,3кімнатна квартира на Львівській
04-05-2022,Ярослав,0990775505,active,2кімнатна квартира на ГПЗ
04.06.2022,Ярослав,0990775505,active,2кімнатна квартира
04.06.2022,Ярослав,0990775505,active,2кімнатна квартира на 40
4.06.2022,Ярослав,0990775505,active,2кімнатна квартира на 33
9-06-2022,Ярослав,0990775505,active,2кімнатна квартира на 55
